id,time,file,behaviour,type,family,stage,comment
5,999.101,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,1152.655,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,1341.109,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,1464.803,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,1587.025,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Conspecific,Damselfish,Adult,Dusky damselfish
5,1640.612,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,1711.849,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish x 2
5,299.666,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Heterospecific,Goatfish,Unknown,Yellow goatfish
5,675.208,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Heterospecific,Goatfish,Unknown,Yellow goatfish
5,919.755,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Goatfish,Unknown,Yellow goatfish
5,1274.643,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Goatfish,Unknown,Yellow goatfish
5,637.203,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Heterospecific,Grouper,Adult,Barred hamlet
